center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,trial.stopped,trials.response,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010492291010450572,0.018013082968536764,0.018013082968536764,35.27062791597564,space,35.24420508299954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.270712915982585,35.2777251250227,35.2777251250227,41.009359707997646,space,5.728102958993986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
30,0,right,0,0,0,right,1,2.222376041987445,None,,,,,,0,0,0,0,,,,,,,,,41.05454404099146,,,,,,,,,,,,,,,,41.04662341601215,41.05454404099146,41.51388666598359,41.51388666598359,42.50153491599485,42.50574929098366,42.50574929098366,43.28787804098101,right,1,2.222376041987445,None,43.29325958300615,43.51307945797453,44.79170983302174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
-30,0,left,1,1,0,left,1,3.11801395798102,None,,,,,,0,1,1,1,,,,,,,,,44.80291608301923,,,,,,,,,,,,,,,,44.79276049998589,44.80291608301923,45.284823082969524,45.284823082969524,46.28614041599212,46.27410808298737,46.27410808298737,47.927417290979065,left,1,3.11801395798102,None,47.927538540971,47.938350624986924,49.4259261249681,49.43594125000527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
30,60,right,2,2,0,right,1,2.5607412090175785,None,,,,,,0,2,2,2,,,,,,,,,49.43594125000527,,,,,,,,,,,,,,,,49.427067290991545,49.43594125000527,49.92738658300368,49.92738658300368,50.92321637499845,50.92321637499845,50.92321637499845,52.004659291007556,right,1,2.5607412090175785,None,52.00480499997502,52.012679625011515,53.50348804099485,53.50937787501607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
-30,-60,left,3,3,0,left,1,1.9662917500245385,None,,,,,,0,3,3,3,,,,,,,,,53.50937787501607,,,,,,,,,,,,,,,,53.50458504102426,53.50937787501607,54.00147670798469,54.00147670798469,55.00305175001267,54.99133633298334,54.99133633298334,55.48782833298901,left,1,1.9662917500245385,None,55.48789708298864,55.495454957999755,56.98729149997234,56.99606562498957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.98745845799567,56.99606562498957,56.99606562498957,62.98901337501593,space,5.980604540964123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
-30,-60,left,0,0,0,,,,,100,right,0,1.6003611250198446,None,,,,,0,0,0,0,,,,,63.010881582973525,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.62189224996837,64.6295007080189,66.12028583302163,66.12525358301355,,,,,,,,63.00655241601635,63.010881582973525,63.50257608300308,63.50257608300308,63.55964595801197,63.57338191597955,63.57338191597955,64.62173720798455,right,0,1.6003611250198446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
-30,0,left,1,1,0,,,,,100,left,1,1.1888395419809967,None,,,,,0,1,1,1,,,,,66.12525358301355,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.32172541599721,67.3295260000159,68.82015954097733,68.82564400002593,,,,,,,,66.12078375002602,66.12525358301355,66.61802008299856,66.61802008299856,66.69103041599737,66.69103041599737,66.69103041599737,67.32156150002265,left,1,1.1888395419809967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
30,60,right,2,2,0,,,,,100,right,1,1.0951347919763066,None,,,,,0,2,2,2,,,,,68.82564400002593,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.92713379097404,69.93476483301492,71.42027216602582,71.4255734999897,,,,,,,,68.82071649999125,68.82564400002593,69.3180798329995,69.3180798329995,69.39235687500332,69.39235687500332,69.39235687500332,69.92703145800624,right,1,1.0951347919763066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
30,0,right,3,3,0,,,,,100,right,1,81.83814941602759,None,,,,,0,3,3,3,,,,,71.4255734999897,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.269310957985,153.27805954101495,154.76926829101285,154.77372229099274,,,,,,,,71.4207748749759,71.4255734999897,71.92875237500994,71.92875237500994,72.00262491597096,72.00262491597096,72.00262491597096,153.26903004100313,right,1,81.83814941602759,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
-30,69,left,4,4,0,,,,,0,left,1,4.5359790829825215,None,,,,,0,4,4,4,,,,,154.77372229099274,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.32123025000328,159.32890437496826,160.81994791602483,160.82501391600817,,,,,,,,154.7703397499863,154.77372229099274,155.26944312499836,155.26944312499836,155.33996462501818,155.33996462501818,155.33996462501818,159.321105791023,left,1,4.5359790829825215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
30,69,right,5,5,0,,,,,0,right,1,1.0288768749451265,None,,,,,0,5,5,5,,,,,160.82501391600817,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.86059300001943,161.86837124999147,163.35188841598574,163.3583692079992,,,,,,,,160.8205161659862,160.82501391600817,161.31822854100028,161.31822854100028,161.3921640830231,161.3921640830231,161.3921640830231,161.8604751250241,right,1,1.0288768749451265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.3520694579929,163.3583692079992,163.3583692079992,165.29018620797433,space,1.9279998340061866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,165.47027950000484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,1,0,start,5,15,15,-30,165.46462245797738,165.47027950000484,165.78751670802012,165.78751670802012,165.85658762499224,165.85658762499224,165.86907641601283,166.76052983297268,1,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,166.7689837910002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,1,1,start,5,15,15,30,166.76170820801053,166.7689837910002,167.2615739160101,167.2615739160101,167.33587666600943,167.33587666600943,167.33587666600943,168.08782924996922,1,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,168.09607620799216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,1,2,start,5,-15,-15,-30,168.0889564579702,168.09607620799216,168.584524624981,168.584524624981,168.65887724998174,168.65887724998174,168.65887724998174,169.15344083297532,0,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,169.16194866597652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,1,3,start,5,-15,-15,,169.15493508300278,169.16194866597652,169.6449685409898,169.6449685409898,169.71936054097023,169.71936054097023,169.727551665972,170.17028550000396,0,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,170.17613333300687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,1,4,start,5,15,15,,170.1713845829945,170.17613333300687,170.66807574999984,170.66807574999984,170.74017020798055,170.74017020798055,170.74017020798055,171.17915550002363,1,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,171.1842624580022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,1,5,start,5,-15,-15,30,171.18016554100905,171.1842624580022,171.67678695800714,171.67678695800714,171.75246304098982,171.75246304098982,171.75246304098982,172.20582441601437,0,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
