center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0135074169957079,0.02034579199971631,0.02034579199971631,31.808642999996664,space,31.73484450000251,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eli,0,2025-08-29_11h25.26.790,tilt_staircase,2024.2.4,None,2025-08-29 11h25.34.337792 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.808726249997562,31.828417166994768,31.828417166994768,39.46497354199528,space,7.631326792004984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eli,0,2025-08-29_11h25.26.790,tilt_staircase,2024.2.4,None,2025-08-29 11h25.34.337792 -0400,
30,0,right,0,0,0,right,1,1.3829524999964633,None,,,,,,0,0,0,0,,,,,,,,,39.493346916999144,,,,,,,,,,,,,,,,39.48564883299696,39.493346916999144,40.03714974999457,40.03714974999457,40.88400187499792,right,1,1.3829524999964633,None,40.890152707994275,40.98164687499957,42.39141441699758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eli,0,2025-08-29_11h25.26.790,tilt_staircase,2024.2.4,None,2025-08-29 11h25.34.337792 -0400,
-30,0,left,1,1,0,left,1,1.0770487090048846,None,,,,,,0,1,1,1,,,,,,,,,42.398088292000466,,,,,,,,,,,,,,,,42.39280016699922,42.398088292000466,42.88290870799392,42.88290870799392,43.47785362499417,left,1,1.0770487090048846,None,43.47798137499922,43.48746645799838,44.97591824999836,44.982101999994484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eli,0,2025-08-29_11h25.26.790,tilt_staircase,2024.2.4,None,2025-08-29 11h25.34.337792 -0400,
30,60,right,2,2,0,right,1,1.2188320830027806,None,,,,,,0,2,2,2,,,,,,,,,44.982101999994484,,,,,,,,,,,,,,,,44.97701658299775,44.982101999994484,45.47347974999866,45.47347974999866,46.21069833299407,right,1,1.2188320830027806,None,46.210893582996505,46.219686874996114,47.70913954199932,47.71563808299834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eli,0,2025-08-29_11h25.26.790,tilt_staircase,2024.2.4,None,2025-08-29 11h25.34.337792 -0400,
-30,-60,left,3,3,0,left,1,0.8670106249992386,None,,,,,,0,3,3,3,,,,,,,,,47.71563808299834,,,,,,,,,,,,,,,,47.71040662499581,47.71563808299834,48.20687341699522,48.20687341699522,48.593978457996855,left,1,0.8670106249992386,None,48.59416520800005,48.601885749994835,50.09256249999453,50.10094483300054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eli,0,2025-08-29_11h25.26.790,tilt_staircase,2024.2.4,None,2025-08-29 11h25.34.337792 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0927234999981,50.10094483300054,50.10094483300054,74.92681162499503,space,24.820510292003746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eli,0,2025-08-29_11h25.26.790,tilt_staircase,2024.2.4,None,2025-08-29 11h25.34.337792 -0400,
-30,-60,left,0,0,0,,,,,100,left,1,4.361401916001341,None,,,,,0,0,0,0,,,,,74.94419970799936,,,,,,,,,,,,,,,,,,,,,,,,,79.31095162499696,79.31838604199584,80.80921266699443,80.81493066699477,,,,,,,,74.93612383299478,74.94419970799936,75.42823124999995,75.42823124999995,75.49763574999815,75.49763574999815,75.49763574999815,79.31082212500041,left,1,4.361401916001341,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eli,0,2025-08-29_11h25.26.790,tilt_staircase,2024.2.4,None,2025-08-29 11h25.34.337792 -0400,
-30,0,left,1,1,0,,,,,100,left,1,1.0557078330020886,None,,,,,0,1,1,1,,,,,80.81493066699477,,,,,,,,,,,,,,,,,,,,,,,,,81.87671437500103,81.88375254199491,83.3758322079957,83.38151537499652,,,,,,,,80.809820167,80.81493066699477,81.30667916699895,81.30667916699895,81.38112670799455,81.38112670799455,81.38112670799455,81.87660608299484,left,1,1.0557078330020886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eli,0,2025-08-29_11h25.26.790,tilt_staircase,2024.2.4,None,2025-08-29 11h25.34.337792 -0400,
30,60,right,2,2,0,,,,,100,right,1,0.7948368750003283,None,,,,,0,2,2,2,,,,,83.38151537499652,,,,,,,,,,,,,,,,,,,,,,,,,84.18249691699748,84.19004887499614,85.67579799999658,85.68153129200073,,,,,,,,83.37641900000017,83.38151537499652,83.87330729200039,83.87330729200039,83.94749724999565,83.94749724999565,83.94749724999565,84.18239220800024,right,1,0.7948368750003283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eli,0,2025-08-29_11h25.26.790,tilt_staircase,2024.2.4,None,2025-08-29 11h25.34.337792 -0400,
