center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010586625023279339,0.0196323330164887,0.0196323330164887,49.12968020798871,space,49.05042225000216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nateheller,0,2025-09-11_15h05.09.545,tilt_staircase,2024.2.4,None,2025-09-11 15h05.27.046967 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.12979891698342,49.15682974999072,49.15682974999072,55.95350379199954,space,6.792977500008419,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nateheller,0,2025-09-11_15h05.09.545,tilt_staircase,2024.2.4,None,2025-09-11 15h05.27.046967 -0400,
30,0,right,0,0,0,right,1,1.3742941670352593,None,,,,,,0,0,0,0,,,,,,,,,55.996933832997456,,,,,,,,,,,,,,,,55.98868470801972,55.996933832997456,56.459827332990244,56.459827332990244,57.373941708006896,right,1,1.3742941670352593,None,57.37980429199524,57.57439416699344,58.8815241670236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nateheller,0,2025-09-11_15h05.09.545,tilt_staircase,2024.2.4,None,2025-09-11 15h05.27.046967 -0400,
-30,0,left,1,1,0,left,1,1.044615334016271,None,,,,,,0,1,1,1,,,,,,,,,58.8883606250165,,,,,,,,,,,,,,,,58.882756958017126,58.8883606250165,59.374307541991584,59.374307541991584,59.94028541701846,left,1,1.044615334016271,None,59.94041683297837,59.950614667031914,61.43737879197579,61.44808574998751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nateheller,0,2025-09-11_15h05.09.545,tilt_staircase,2024.2.4,None,2025-09-11 15h05.27.046967 -0400,
30,60,right,2,2,0,right,1,1.0911710420041345,None,,,,,,0,2,2,2,,,,,,,,,61.44808574998751,,,,,,,,,,,,,,,,61.43830037501175,61.44808574998751,61.939976792025845,61.939976792025845,62.5497098750202,right,1,1.0911710420041345,None,62.54984954203246,62.55746070801979,64.04845524998382,64.0545890420326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nateheller,0,2025-09-11_15h05.09.545,tilt_staircase,2024.2.4,None,2025-09-11 15h05.27.046967 -0400,
-30,-60,left,3,3,0,left,1,0.9776335830101743,None,,,,,,0,3,3,3,,,,,,,,,64.0545890420326,,,,,,,,,,,,,,,,64.04955545801204,64.0545890420326,64.54698833299335,64.54698833299335,65.04312491702149,left,1,0.9776335830101743,None,65.04321837500902,65.06415508297505,66.54779887502082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nateheller,0,2025-09-11_15h05.09.545,tilt_staircase,2024.2.4,None,2025-09-11 15h05.27.046967 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5479884580127,66.55492504202994,66.55492504202994,116.72052099998109,space,50.159615791984834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nateheller,0,2025-09-11_15h05.09.545,tilt_staircase,2024.2.4,None,2025-09-11 15h05.27.046967 -0400,
-30,-60,left,0,0,0,,,,,100,left,1,2.6977792920079082,None,,,,,0,0,0,0,,,,,116.73384995799279,,,,,,,,,,,,,,,,,,,,,,,,,119.43486141698668,119.44247345800977,120.93196554202586,120.93757345800987,,,,,,,,116.72866137500387,116.73384995799279,117.21696708298987,117.21696708298987,117.2849025829928,117.2849025829928,117.2974957919796,119.43458537501283,left,1,2.6977792920079082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nateheller,0,2025-09-11_15h05.09.545,tilt_staircase,2024.2.4,None,2025-09-11 15h05.27.046967 -0400,
-30,0,left,1,1,0,,,,,100,left,1,1.3117500419612043,None,,,,,0,1,1,1,,,,,120.93757345800987,,,,,,,,,,,,,,,,,,,,,,,,,122.25903579202713,122.26399454200873,123.74878245801665,123.7542489580228,,,,,,,,120.93255341699114,120.93757345800987,121.43001054198248,121.43001054198248,121.50146787503036,121.50146787503036,121.514568625018,122.25891970802331,left,1,1.3117500419612043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nateheller,0,2025-09-11_15h05.09.545,tilt_staircase,2024.2.4,None,2025-09-11 15h05.27.046967 -0400,
30,60,right,2,2,0,,,,,100,right,1,1.396865374990739,None,,,,,0,2,2,2,,,,,123.7542489580228,,,,,,,,,,,,,,,,,,,,,,,,,125.1555435420014,125.16337179200491,126.64855137502309,126.65395700000226,,,,,,,,123.74933212500764,123.7542489580228,124.25564529199619,124.25564529199619,124.33120662497822,124.33120662497822,124.33728012500796,125.15543345798505,right,1,1.396865374990739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nateheller,0,2025-09-11_15h05.09.545,tilt_staircase,2024.2.4,None,2025-09-11 15h05.27.046967 -0400,
