center,surround,correct,opacity,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,text_7.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,trial.started,center_angle,surround_angle,resp.started,surround_grating.started,center_grating.started,text_3.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.00967349999700673,0.017146291000244673,0.017146291000244673,2.6082982500010985,space,2.5880256250020466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sofia,0,2025-08-22_14h44.23.095,tilt_staircase,2023.2.3,120.25361535349536,2025-08-22 14h44.45.271470 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,2.6083407499972964,2.6190030409998144,2.6190030409998144,6.917102708001039,space,4.294605249997403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sofia,0,2025-08-22_14h44.23.095,tilt_staircase,2023.2.3,120.25361535349536,2025-08-22 14h44.45.271470 -0400,
30,0,right,,0,0,0,0,,,,,,,,,6.938076624996029,,,,,,,,,,,,,,,,6.928742374999274,6.938076624996029,7.432081790997472,7.432081790997472,8.317361624998739,right,1,1.3707323339986033,None,8.31824433300062,8.358574457997747,9.824123665996012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sofia,0,2025-08-22_14h44.23.095,tilt_staircase,2023.2.3,120.25361535349536,2025-08-22 14h44.45.271470 -0400,
-30,0,left,,0,1,1,1,,,,,,,,,9.832888165998156,,,,,,,,,,,,,,,,9.82460754099884,9.832888165998156,10.327771457996278,10.327771457996278,10.890407665996463,left,1,1.0531605829964974,None,10.890940625002258,10.91640179100068,12.399940249997599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sofia,0,2025-08-22_14h44.23.095,tilt_staircase,2023.2.3,120.25361535349536,2025-08-22 14h44.45.271470 -0400,
30,60,right,,0,2,2,2,,,,,,,,,12.407080083001347,,,,,,,,,,,,,,,,12.400451790999796,12.407080083001347,12.895184250002785,12.895184250002785,13.657546333000937,right,1,1.2458229170006234,None,13.658075749997806,13.683122041002207,15.166632957996626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sofia,0,2025-08-22_14h44.23.095,tilt_staircase,2023.2.3,120.25361535349536,2025-08-22 14h44.45.271470 -0400,
-30,-60,left,,0,3,3,3,,,,,,,,,15.17212441599986,,,,,,,,,,,,,,,,15.166888457999448,15.17212441599986,15.66085741599818,15.66085741599818,16.408261625001614,left,1,1.2326605839989497,None,16.408782250000513,16.41861845800304,17.91650770799606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sofia,0,2025-08-22_14h44.23.095,tilt_staircase,2023.2.3,120.25361535349536,2025-08-22 14h44.45.271470 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.91658862499753,17.92349458300305,17.92349458300305,19.924560207997274,space,1.9932870409975294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sofia,0,2025-08-22_14h44.23.095,tilt_staircase,2023.2.3,120.25361535349536,2025-08-22 14h44.45.271470 -0400,
-30,-60,left,100,,,,,0,0,0,0,,,,,19.94163408299937,,,,,,,,,,,,,,,,,,,,,,,,,21.367828041002213,21.374048208002932,22.86707770799694,,,,,,,,19.932267208001576,19.94163408299937,20.42973683300079,20.42973683300079,20.508624166002846,20.51540345799731,20.51540345799731,21.367087874998106,left,1,1.4150335829981486,None,22.87280437500158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sofia,0,2025-08-22_14h44.23.095,tilt_staircase,2023.2.3,120.25361535349536,2025-08-22 14h44.45.271470 -0400,
-30,0,left,100,,,,,0,1,1,1,,,,,22.87280437500158,,,,,,,,,,,,,,,,,,,,,,,,,23.957823999997345,23.966072582996276,25.45787174999714,,,,,,,,22.86747308300255,22.87280437500158,23.378112416001386,23.378112416001386,23.44954937500006,23.456639625001117,23.456639625001117,23.957382957996742,left,1,1.0789937079971423,None,25.46633687499707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sofia,0,2025-08-22_14h44.23.095,tilt_staircase,2023.2.3,120.25361535349536,2025-08-22 14h44.45.271470 -0400,
30,60,right,100,,,,,0,2,2,2,,,,,25.46633687499707,,,,,,,,,,,,,,,,,,,,,,,,,26.318214833001548,26.327071833002265,27.823264999999083,,,,,,,,25.45828283300216,25.46633687499707,25.960334458002762,25.960334458002762,26.041369500002475,26.041369500002475,26.041369500002475,26.31768116600142,right,1,0.8419823340009316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sofia,0,2025-08-22_14h44.23.095,tilt_staircase,2023.2.3,120.25361535349536,2025-08-22 14h44.45.271470 -0400,
